Claim,Item page URL,Status,Created by,Submitted at,Social Media Posted at,Report Published at,Number of media,Tags,Red Social,Formato,¿Ataca a un candidato?,¿A qué candidato?,¿Ataca al TSE o al proceso electoral?,¿Qué narrativa se utiliza para atacar al TSE o al proceso electoral?,Señale qué narrativa de desinformación se utiliza,¿Fue creado con IA?,¿Imita a un medio de comunicación?,¿A qué medio?,Es caso es:,¿Qué tipo de rumor es?,El rumor que se promueve es:,Reacciones,Comentarios,Compartidos,Visualizaciones
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405601,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:25:31,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,2247,141,235,89000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405599,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:23:24,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,No,No,,Desinformación,,,1562,634,1100,42500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405598,In Progress,Geraldine Angela Martinez Plata,2025-08-12 23:22:46,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,No,No,,Desinformación,,,1562,634,1100,42500
Es falso que el padrón electoral tenga un millón de votantes más que los datos del Censo 2024,https://checkmedia.org/chequeabolivia-verificaciones/media/3405564,False,Pablo Flores,2025-08-12 22:01:55,,2025-08-15 17:36:19,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,,No,No,,Desinformación,,,3998,279,1262,69500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405562,In Progress,Pablo Flores,2025-08-12 21:58:59,2025-08-12 16:30:34,,1,DesinfoElecciones2025,Facebook,Imagen,No,,No,,Supuestas encuestas de intención de voto,,Sí,Red Uno,Desinformación,,,155,67,423,
Es falso que el padrón electoral tenga un millón de votantes más que los datos del Censo 2024,https://checkmedia.org/chequeabolivia-verificaciones/media/3405560,False,Pablo Flores,2025-08-12 21:56:09,,2025-08-15 17:34:02,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,14400,264,2860,204400
Es falso que IDEA International realizó una encuesta que posiciona en primer lugar a Andrónico Rodriguez,https://checkmedia.org/chequeabolivia-verificaciones/media/3405512,False,Andre R. Flores Juaniquina,2025-08-12 20:47:01,,2025-08-15 17:32:02,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,906,98,285,39600
"Caso 156 08/25 Diputada Monica Torres confirma consorcio integrado por Samuel Doria Medina, Marcelo Claure, Bulgheroni y Carlos Gil para explotar el Litio",https://checkmedia.org/chequeabolivia-verificaciones/media/3405509,Inchequeable,LESLEY CASSIE NAVIA ORELLANA,2025-08-12 20:38:25,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,8287,1026,4399,197900
Encuesta que posiciona al voto nulo con el 48% de intención de voto no tiene validez,https://checkmedia.org/chequeabolivia-verificaciones/media/3405508,False,Grecia Velasquez,2025-08-12 20:37:14,2025-08-05 12:13:19,2025-08-15 17:30:32,1,DesinfoElecciones2025,X (Twitter),Imagen,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,21,4,11,541
"Caso 157 08/2025 Diputada de CC denuncia consorcio transnacional para controlar el litio boliviano, vinculado a empresarios y candidato Doria Medina",https://checkmedia.org/chequeabolivia-verificaciones/media/3405507,Inchequeable,Jonathan Aguilar,2025-08-12 20:36:41,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,8285,1025,4397,197700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405506,False,Jonathan Aguilar,2025-08-12 20:34:59,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Intromisión de misiones de observación,Sí,Sí,Unitel,Desinformación,,,2044,202,932,131.100
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405505,In Progress,Jonathan Aguilar,2025-08-12 20:33:43,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,Sí,Bolivisión,Desinformación,,,4327,628,995,133000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405503,In Progress,Jonathan Aguilar,2025-08-12 20:31:40,,,1,DesinfoElecciones2025,Facebook,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,2200,229,1300,
"Caso 145 08/2025 Socio de Andrónico, Fernando Humérez y su historia en el caso respiradores",https://checkmedia.org/chequeabolivia-verificaciones/media/3405498,Inchequeable,davilamorelia02,2025-08-12 20:23:12,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Andrónico Rodriguez,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,207,58,129,7866
Caso 144 08/2025 Fracaso del cierre de campaña de Tuto,https://checkmedia.org/chequeabolivia-verificaciones/media/3405470,Inchequeable,davilamorelia02,2025-08-12 19:28:00,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,4484,899,1038,288600
Caso 143 08/2025 Edman Lara acusa a Eduardo del Castillo de usar bienes del estado para su campaña,https://checkmedia.org/chequeabolivia-verificaciones/media/3405453,Inchequeable,davilamorelia02,2025-08-12 19:06:33,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Eduardo Del Castillo,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,5273,430,949,206000
Caso 142 08/2025 Contenido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3405202,Inchequeable,davilamorelia02,2025-08-12 13:57:08,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,9816,255,2594,209700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405191,In Progress,davilamorelia02,2025-08-12 13:45:24,2025-08-11 23:29:05,,1,DesinfoElecciones2025,Facebook,Imagen,No,,No,,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,17,6,192,
Caso 140 08/2025 Contenido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3405189,Inchequeable,davilamorelia02,2025-08-12 13:43:16,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,5633,196,311,59000
Caso 137 08/2025 Rodrigo Paz es otro corrupto,https://checkmedia.org/chequeabolivia-verificaciones/media/3405182,Inchequeable,davilamorelia02,2025-08-12 13:38:30,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,"Rodrigo Paz, Samuel Doria Medina",No,,,No,,,Rumor,Rumor de miedo,Promueve la campaña del voto nulo,810,29,342,11500
Caso 138 08/2025 Contenido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3405181,Inchequeable,davilamorelia02,2025-08-12 13:37:14,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,7991,552,1628,276800
Caso 139 08/2025 Contenido que promueve el voto nulo,https://checkmedia.org/chequeabolivia-verificaciones/media/3405180,Inchequeable,davilamorelia02,2025-08-12 13:36:50,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,9478,343,1543,395100
Caso 136 08/2025 Tuto está acompañado de gente corrupta y ladrones,https://checkmedia.org/chequeabolivia-verificaciones/media/3405177,Inchequeable,davilamorelia02,2025-08-12 13:34:22,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,1427,805,574,26600
"Caso 135 08/2025 El Deber se vendió a Tuto Quiroga y al clan Justiniano, posicionándolo como ganador de las encuestas.",https://checkmedia.org/chequeabolivia-verificaciones/media/3405176,Inchequeable,davilamorelia02,2025-08-12 13:32:25,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,312,106,160,9143
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405169,In Progress,davilamorelia02,2025-08-12 13:29:26,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Ataques a candidatos,,No,,Desinformación,,,753,736,524,81800
"Caso 133 08/2025 Según Evo Morales, la única forma de volver al poder es hacer renunciar a Samuel Doria Medina.",https://checkmedia.org/chequeabolivia-verificaciones/media/3405167,Inchequeable,davilamorelia02,2025-08-12 13:26:27,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,,No,,Desinformación,,,3165,1249,2677,158700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405161,Engañoso,davilamorelia02,2025-08-12 13:23:59,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,1501,338,100,55800
Caso 131 08/2025 Evo Morales puede ser inscrito 3 días antes de las elecciones,https://checkmedia.org/chequeabolivia-verificaciones/media/3405149,Inchequeable,yirleyngabrielm,2025-08-12 13:13:43,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,,No,,,Rumor,Rumor de miedo,Candidaturas que no están definidas,7868,1743,451,240800
,https://checkmedia.org/chequeabolivia-verificaciones/media/3405148,In Progress,yirleyngabrielm,2025-08-12 13:12:29,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,No,,Desinformación,,,7570,669,1711,205600
"Caso 130 08/2025 Desenmascarando a la falsa opositora, Andrea Barrientos.",https://checkmedia.org/chequeabolivia-verificaciones/media/3405146,Inchequeable,valoguz,2025-08-12 13:09:53,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,"Andrea Barrientos, Samuel Doria Medina",No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,3709,587,1755,39900
"Caso 130 08/2025 Unitel revela por error los verdaderos datos de la encuesta de intención de voto, última encuesta",https://checkmedia.org/chequeabolivia-verificaciones/media/3405145,Inchequeable,yirleyngabrielm,2025-08-12 13:09:30,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Tendencias de Intención de voto,22100,778,3232,812300
Caso 128 08/2025 Audio de Evo Morales donde asegura que la única forma de volver al poder es que gane Samuel Doria Medina,https://checkmedia.org/chequeabolivia-verificaciones/media/3405143,Inchequeable,yirleyngabrielm,2025-08-12 13:07:12,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,,No,,Desinformación,,,3165,1249,2677,158700
Caso 129 08/2025 Samuel Doria sobre la comunidad LGTB,https://checkmedia.org/chequeabolivia-verificaciones/media/3405142,Inchequeable,valoguz,2025-08-12 13:06:46,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,5727,869,2354,186200
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404701,In Progress,Salazar Zarate Marioly,2025-08-12 00:23:49,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,Sí,Unitel,Desinformación,,,23600,2084,1799,689000
Es falso que el voto nulo anule las elecciones como asegura el dirigente Marcelino Flores,https://checkmedia.org/chequeabolivia-verificaciones/media/3404680,False,Salazar Zarate Marioly,2025-08-12 00:15:42,,2025-08-13 22:17:24,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,,No,No,,Desinformación,,,2313,1995,256,202200
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404666,In Progress,Marcel Chuca Espinoza,2025-08-11 23:38:45,,,3,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,225,60,32,43300
Caso 120 08/25 Manfred lidera las encuestas en el búnker,https://checkmedia.org/chequeabolivia-verificaciones/media/3404647,Inchequeable,Gabrielle Juliett Barriga,2025-08-11 22:55:31,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Tendencias de Intención de voto,1038,194,173,35500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404601,In Progress,LESLEY CASSIE NAVIA ORELLANA,2025-08-11 20:49:39,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,15200,457,6400,577700
Caso 121 08/25 Samuel Doria Medina se contradice y cambia de opinión entre febrero y agosto de 2025 sobre un mismo tema.,https://checkmedia.org/chequeabolivia-verificaciones/media/3404598,Inchequeable,LESLEY CASSIE NAVIA ORELLANA,2025-08-11 20:42:00,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,2447,292,845,45800
Caso 125 08/2025 Encuesta amañanada pagada por Tuto quien ordena guerra sucia a Samuel,https://checkmedia.org/chequeabolivia-verificaciones/media/3404597,Inchequeable,Salazar Zarate Marioly,2025-08-11 20:39:08,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,Ataques a candidatos,No,No,,Desinformación,,,275,112,106,7712
Caso 92 08/2025 Tuto Quiroga propone eliminar bonos sociales y beneficios fiscales como medida para salir de la crisis en Bolivia,https://checkmedia.org/chequeabolivia-verificaciones/media/3404594,Inchequeable,Salazar Zarate Marioly,2025-08-11 20:36:45,,,1,ContenidoElecciones2025,Facebook,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,12000,2400,,5100000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404586,In Progress,Jhannine Jazmín Maita,2025-08-11 20:29:44,,,1,DesinfoElecciones2025,Facebook,Audiovisual,No,,No,,,No,No,,Desinformación,,,11300,1000,11998,
"Caso 113 08/2025 Audio filtrado de Camacho: ""Samuel no llega al 10%""",https://checkmedia.org/chequeabolivia-verificaciones/media/3404578,Inchequeable,Geraldine Angela Martinez Plata,2025-08-11 20:26:18,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,,No,,Desinformación,,,1526,344,582,58300
Es falso que el presidente argentino Javier Milei envío un mensaje a los bolivianos previo a las elecciones generales 2025,https://checkmedia.org/chequeabolivia-verificaciones/media/3404576,False,Geraldine Angela Martinez Plata,2025-08-11 20:24:31,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,No,,Desinformación,,,7262,642,1613,197300
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404575,In Progress,Geraldine Angela Martinez Plata,2025-08-11 20:22:51,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,,Sí,Unitel,Desinformación,,,2055,207,952,131700
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404572,In Progress,Geraldine Angela Martinez Plata,2025-08-11 20:18:39,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,Sí,El Deber,Desinformación,,,1404,251,144,34800
"Caso 101 08/2025 Se filtra audio del candidato JORGE TUTO QUIROGA ordenando la guerra sucia. segun nuestras tuentes uno de los empleados de la campaña de ""Tuto"" Quiroga, disconforme por una supuesta 360 deuda habría filtrado esto a varios medios de comunicación Boliviana.",https://checkmedia.org/chequeabolivia-verificaciones/media/3404570,Inchequeable,Salazar Zarate Marioly,2025-08-11 20:14:54,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,Ataques a candidatos,,No,,Desinformación,,,594,1298,723,25400
Caso  08/2025 Vice de Manfred sobre el matrimonio gay,https://checkmedia.org/chequeabolivia-verificaciones/media/3404567,Inchequeable,Geraldine Angela Martinez Plata,2025-08-11 20:14:02,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de deseo,Ataques a candidatos,7424,1167,1605,160400
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404565,Engañoso,Jonathan Aguilar,2025-08-11 20:13:00,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,Supuestas encuestas de intención de voto,No,No,,Desinformación,,,11700,350,952,232100
Caso 107 08/2025 Hermana de Tuto candidata como diputada por Cochabamba implicada en el caso AeroSur,https://checkmedia.org/chequeabolivia-verificaciones/media/3404299,Inchequeable,davilamorelia02,2025-08-11 13:34:29,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,794,237,377,30200
Caso 108 08/2025 Evo concede amnistía a Tuto Quiroga,https://checkmedia.org/chequeabolivia-verificaciones/media/3404298,Inchequeable,davilamorelia02,2025-08-11 13:33:58,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,144,1,16,7206
Evo Morales respalda la candidatura de Andrónico Rodríguez,https://checkmedia.org/chequeabolivia-verificaciones/media/3404296,False,davilamorelia02,2025-08-11 13:29:40,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,No,,Desinformación,,,4224,501,475,453100
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404295,In Progress,yirleyngabrielm,2025-08-11 13:29:38,,,1,DesinfoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,9739,5582,90,245300
"Caso 100 08/2025 Avión Ruso en viru viru, movimientos sospechosos.",https://checkmedia.org/chequeabolivia-verificaciones/media/3404288,Inchequeable,valoguz,2025-08-11 13:12:30,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,Sí,Desprestigia el proceso electoral por supuestas irregularidades,Fraude electoral (incluye manipulación de papeletas),No,No,,Desinformación,,,750,91,151,33000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3404287,In Progress,valoguz,2025-08-11 13:11:06,2025-08-07 14:24:09,,1,,,,,,,,,,,,,,,,,,
Caso 98 08/2025 Se filtra audio entre Camacho y su equipo,https://checkmedia.org/chequeabolivia-verificaciones/media/3404285,Inchequeable,valoguz,2025-08-11 13:07:20,2025-08-11 12:30:14,,2,DesinfoElecciones2025,Facebook,Audiovisual,Sí,Samuel Doria Medina,No,,Ataques a candidatos,No,No,,Desinformación,,,1600,635,,116000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403787,SinEmpezar,Pablo Flores,2025-08-10 22:43:35,2025-08-05 20:27:57,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403237,Engañoso,Max Bruno Pérez Aliaga,2025-08-10 02:11:44,2025-08-08 23:54:20,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403221,SinEmpezar,Jonathan Aguilar,2025-08-10 01:09:15,,,1,DesinfoElecciones2025,TikTok,Audiovisual,,,,,,No,,,Desinformación,,,37500,4105,3876,1300000
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403215,SinEmpezar,Salazar Zarate Marioly,2025-08-10 00:42:59,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403147,SinEmpezar,Gabo Gonzales,2025-08-09 20:13:30,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403144,SinEmpezar,Gabo Gonzales,2025-08-09 20:10:14,2025-07-01 22:00:50,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403142,SinEmpezar,Gabo Gonzales,2025-08-09 20:07:17,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403137,SinEmpezar,Gabo Gonzales,2025-08-09 20:00:45,,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403134,SinEmpezar,Gabo Gonzales,2025-08-09 19:58:07,2025-07-10 04:43:51,,1,,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3403133,SinEmpezar,Gabo Gonzales,2025-08-09 19:55:41,2025-07-22 16:13:51,,1,,,,,,,,,,,,,,,,,,